PARTIE 	 第一
tribune 	 判稿
Cependant 	 但
pour 	 要
affronter 	 对付
Ye 	 叶哲泰
Zhetai 	 叶哲泰
, 	 ，
des 	 那
slogans 	 口号
il 	 是
pas 	 不
d' 	 的
. 	 。
ils 	 他们
choisi 	 决定
faire 	 出
Aujourd'hui 	 今天
pour 	 为
professeur 	 老师
d' 	 的
nouvelle 	 新武器
arme 	 新武器
. 	 ，
quelqu' 	 的
Une 	 一
un 	 人
dans 	 对
fit 	 挥
un 	 一下手
main 	 一下手
. 	 。
Ye 	 叶哲泰
Zhetai 	 叶哲泰
de 	 的
épouse 	 妻子
, 	 ，
celui-ci 	 同
faculté 	 系
de 	 的
physiques 	 物理学
sciences 	 物理学
collègue 	 教授
Shao 	 绍琳
Lin 	 绍琳
dans 	 从
l' 	 的
leva 	 站
se 	 来
et 	 ，
monta 	 走
sur 	 上
estrade 	 台
. 	 。
Elle 	 她
affublée 	 身
une 	 一
tout 	 很
pas 	 不
gazon 	 草绿色
veste 	 衣服
, 	 ，
voulait 	 想
de 	 与
rouges 	 红卫兵
gardes 	 红卫兵
la 	 的
couleur 	 色彩
proche 	 近
. 	 ，
Cependant 	 但
connu 	 熟悉
Shao 	 绍琳
Lin 	 绍琳
qui 	 的
ceux 	 人
savaient 	 联想
qu' 	 到
passé 	 以前
vêtir 	 穿
élégantes 	 精致
robes 	 旗袍
elle 	 她
, 	 ，
paraissait 	 觉得
saugrenu 	 别扭
. 	 。
— 	 “
Ye 	 叶哲泰
Zhetai 	 叶哲泰
! 	 ！
était 	 喝道
qu' 	 ，
elle 	 她
guère 	 显然
certainement 	 显然
n' 	 不
habitude 	 习惯
de 	 于
ce 	 这种
genre 	 这种
spectacle 	 场合
, 	 ，
et 	 ，
élever 	 拔高
sa 	 自己
le 	 的
d' 	 的
voix 	 声音
, 	 ，
même 	 连
dans 	 其中
les 	 的
trémolos 	 颤抖
intensité 	 颤抖
redoublé 	 放大
avaient 	 了
. 	 ，
— 	 “
Tu 	 你
ne 	 没有
imaginais 	 想到
que 	 想到
je 	 我
dresserais 	 会
devant 	 出
pour 	 来
dénoncer 	 揭发
te 	 你
et 	 ，
critiquer 	 批判
te 	 你
? 	 ？
Oui 	 是
, 	 ，
tu 	 我
autrefois 	 以前
as 	 受
bernée 	 欺骗
, 	 ，
tu 	 你
avec 	 用
ta 	 自己
réactionnaire 	 反动
du 	 的
monde 	 世界观
vision 	 世界观
et 	 和
science 	 科学观
ouvert 	 蒙蔽
ai 	 了
m' 	 我
! 	 ！
désormais 	 现在
je 	 我
se 	 了
Grâce 	 在
à 	 在
révolution 	 革命
petits 	 小将
généraux 	 小将
l' 	 的
aide 	 帮助
, 	 ，
tiens 	 站
révolution 	 革命
de 	 的
côté 	 一边
, 	 ，
peuple 	 人民
du 	 的
du 	 一边
côté 	 一边
! 	 ！
! 	 ！
— 	 ”
Vous 	 ”
personnels 	 同志
, 	 、
révolutionnaires 	 革命
et 	 、
éducateurs 	 教职员工
Nous 	 我们
devons 	 应该
conscience 	 认清
Einstein 	 爱因斯坦
relativité 	 相对论
théorie 	 相对论
la 	 的
de 	 的
réactionnaire 	 反动
nature 	 本质
. 	 ，
ce 	 这种
qui 	 这种
réactionnaire 	 本质
aspect 	 本质
est 	 ，
du 	 ，
gravitationnelle 	 广义
relativité 	 相对论
principe 	 相对论
plus 	 最
explicite 	 清楚
! 	 ；
Il 	 它
propose 	 提出
un 	 的
statique 	 静态
modèle 	 模型
nie 	 否
matière 	 物质
la 	 的
de 	 的
dynamique 	 运动
nature 	 本性
et 	 ，
est 	 是
. 	 ！
Elle 	 它
prétend 	 认为
que 	 认为
univers 	 宇宙
a 	 有限
limites 	 有限
, 	 ，
est 	 是
chose 	 彻头彻尾
de 	 的
réactionnaire 	 反动
idéalisme 	 唯心主义
… 	 ”
entendant 	 听
épouse 	 妻子
éloquent 	 滔滔不绝
déverser 	 滔滔不绝
son 	 的
discours 	 演讲
, 	 ，
Ye 	 叶哲
Zhetai 	 叶哲
sourire 	 泰苦
eut 	 了
un 	 一下
: 	 。
Lin 	 琳
, 	 ，
je 	 我
aveuglée 	 蒙蔽
ai 	 了
t' 	 你
? 	 ？
vrai 	 其实
tu 	 你
pour 	 在
moi 	 我
toujours 	 一直
été 	 是
une 	 个
énigme 	 谜
. 	 。
Un 	 一
jour 	 次
, 	 ，
j' 	 我
devant 	 对
ton 	 你
père 	 父亲
loué 	 称赞
déjà 	 过人
intelligence 	 天资
– 	 ——
il 	 他
a 	 很
chance 	 幸运
, 	 ，
témoin 	 躲
de 	 了
ce 	 这
désastre 	 灾难
– 	 ——
secoué 	 摇摇头
tête 	 摇摇头
et 	 ，
affirmé 	 说
fille 	 女儿
n' 	 不
apporterait 	 可能
à 	 在
science 	 学术
aucune 	 有什
contribution 	 建树
. 	 ；
Puis 	 接着
, 	 ，
il 	 他
prononcé 	 说
qui 	 了
en 	 对
moi 	 我
reste 	 后半生
vie 	 后半生
gravée 	 重要
cette 	 一
phrase 	 句
: 	 ：
